YUV BD-BR_Y BD-BR_YUV BD-PSNR_Y BD-PSNR_YUV DIF_TIME
BQMall_832x480_60.yuv -41.8843279484 -42.7747183264 2.219929041106683 2.1665772458291808 0.0859287028032
BQTerrace_1920x1080_60.yuv -55.8584876525 -59.7116356297 1.5839097017803825 1.571794943232663 0.0896161470535
BasketballDrill_832x480_50.yuv -45.8692176265 -46.2233587342 2.4202957777685694 2.3093689266901296 0.085130096094
BasketballDrive_1920x1024_50.yuv -44.4165687342 -46.1056727186 1.1881280011914999 1.230265009364512 0.0739295365829
BasketballDrive_1920x1080_50.yuv -44.3811434995 -46.0560429446 1.170068189883419 1.2118350406775114 0.0713948917226
BasketballPass_416x240_50.yuv -39.457842154 -40.9564840816 2.3927990324464568 2.367290462833205 0.112564835623
Cactus_1920x1080_50.yuv -46.1655963711 -47.0079144396 1.320246315516235 1.2323355051410594 0.0799070920655
FourPeople_1280x720_60.yuv -40.9498507399 -41.675056628 1.8054011947641824 1.7816786813557937 0.174890916076
Johnny_1280x720_60.yuv -49.9610683525 -50.110164565 1.4592778256198946 1.4455603033734004 0.194638177841
Kimono_1920x1080_24.yuv -28.3238325867 -28.9115228434 1.0592045096919243 1.0004997501634934 0.0737393707224
ParkScene_1920x1080_24.yuv -42.8417472942 -43.0218927095 1.6339653937640353 1.5300391689404529 0.109881360552
PartyScene_832x480_50.yuv -48.0736260345 -48.5287959525 2.932194311014192 2.771610373961136 0.0802695613263
PeopleOnStreet_2560x1600_30 -37.6095460214 -38.8511819689 2.0137572684862546 1.9668490471536457 0.0883533381257
RaceHorses_416x240_30.yuv -39.7393450924 -40.9981775853 2.2770043900127512 2.1904221328653377 0.0724794696781
RaceHorses_832x480_30.yuv -38.8133163906 -40.5975041238 1.8653964489397528 1.798055020608824 0.072131704579
SlideEditing_1280x720_30.yuv -36.1347105033 -34.4730772795 6.770594733910376 5.530424559842185 0.349140595362
Tennis_1920x1080_24.yuv -39.1112549376 -41.0458689198 1.4671032377976432 1.4761975936989755 0.0740352566367
Traffic_2560x1600_30 -49.1646906659 -49.3481488467 2.133829335731276 1.9143292052273233 0.112861189896
AVERAGE: -42.7086762558 -43.6887343498 2.0951724838569743 1.971951831719935 0.111160680152
